"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1127","10","0","17","113"
"2","ALWAR","989","41","0","33","153"
"3","BANSWARA","144","4","0","1","10"
"4","BARAN","392","2","0","0","5"
"5","BARMER","29","1","0","6","4"
"6","BHARATPUR","419","2","0","36","38"
"7","BHILWARA","464","10","0","15","81"
"8","BIKANER","766","4","0","7","29"
"9","BUNDI","201","0","0","5","15"
"10","CHITTORGARH","518","16","0","6","86"
"11","CHURU","221","0","0","0","2"
"12","DAUSA","737","20","0","17","100"
"13","DHOLPUR","347","2","0","0","7"
"14","DUNGARPUR","260","9","0","3","79"
"15","GANGANAGAR","325","0","0","0","7"
"16","HANUMANGARH","276","2","0","2","13"
"17","JAIPUR","1795","78","0","104","669"
"18","JAISALMER","69","0","0","13","2"
"19","JALORE","144","0","0","0","15"
"20","JHALAWAR","771","2","0","2","29"
"21","JHUNJHUNU","718","0","0","0","9"
"22","JODHPUR","521","33","0","16","190"
"23","KARAULI","268","0","0","0","9"
"24","KOTA","798","4","0","2","31"
"25","NAGAUR","339","8","0","0","44"
"26","PALI","784","9","0","1","46"
