"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23304","","5284","","28588",""
"2","Total Active Cases","49 
(0.21%)","","00 
(0%)","","49 
(0.17%)",""
"3","Total Cured/Discharged","23087 
(99.1%)","","5224 
(98.9%)","","28311 
(99%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","13","","00","","13",""
"6","Total Positive cases in Home Isolation","34","","00","","34",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","133","","43","","176",""
"10","No. of Samples Positive (Today)","10","","00","","10",""
"11","No. of Samples Negative (Today)","123","","43","","166",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
33 
14 
04 
102"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(12/07/2022)","","Test Done Today 
(13/07/2022)","","Cumulative"
"","","a)RTPCR","329139","","102","","329241"
"","","b)TRUENAT","14487","","07","","14494"
"","","c)RAT","351525","","67","","351592"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","696256","","176","","696432"
