"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229259","223317","5894","48"
"12","Nashik","478647","469579","8918","150"
"13","Ahmednagar","380785","373458","7251","76"
"14","Jalgaon","150225","147446","2762","17"
"15","Nandurbar","46982","46009","963","10"
"16","Dhule","51450","50778","670","2"
"17","Aurangabad","178722","174399","4288","35"
"18","Jalna","67542","66282","1226","34"
"19","Beed","109719","106826","2889","4"
"20","Latur","106493","103949","2489","55"
"21","Parbhani","58801","57516","1281","4"
"22","Hingoli","22454","21934","517","3"
"23","Nanded","103308","100598","2705","5"
"24","Osmanabad","76819","74642","2139","38"
"25","Amravati","107045","105389","1626","30"
"26","Akola","67002","65498","1476","28"
"27","Washim","47444","46738","641","65"
"28","Buldhana","93173","92327","839","7"
"29","Yavatmal","82644","80818","1820","6"
"30","Nagpur","585876","576511","9226","139"
"31","Wardha","66353","64935","1410","8"
"32","Bhandara","69892","68734","1142","16"
"33","Gondia","46000","45403","588","9"
"34","Chandrapur","100110","98479","1598","33"
