"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","745345","107","48940","1","434","270","47597","909"
"2","ALWAR","1471406","88","83660","0","319","334","81951","1390"
"3","BANSWARA","289249","90","13897","0","106","78","13038","753"
"4","BARAN","210420","24","14968","0","63","138","14510","395"
"5","BARMER","388935","23","21320","0","198","35","20753","369"
"6","BHARATPUR","454037","54","31087","0","270","104","30356","461"
"7","BHILWARA","479227","30","37740","0","161","296","36647","932"
"8","BIKANER","688853","83","49247","1","576","119","48113","558"
"9","BUNDI","215406","20","9638","0","54","74","9388","196"
"10","CHITTORGARH","434982","32","29112","0","140","0","28764","208"
"11","CHURU","397379","67","20410","0","113","120","19848","449"
"12","DAUSA","263408","13","15651","0","75","45","15369","207"
"13","DHOLPUR","264106","11","13594","0","49","45","13284","261"
"14","DUNGARPUR","319195","57","25287","0","134","147","24708","445"
"15","GANGANAGAR","398047","72","27423","0","156","205","25882","1385"
"16","HANUMANGARH","464721","51","22127","0","114","270","21702","311"
"17","JAIPUR","3098913","753","267712","3","2096","1856","258998","6618"
"18","JAISALMER","235630","60","16765","0","68","68","16262","435"
"19","JALORE","428136","3","10498","0","77","9","10369","52"
"20","JHALAWAR","349253","72","17385","1","203","68","16926","256"
"21","JHUNJHUNU","460072","79","18556","1","178","101","17667","711"
"22","JODHPUR","1332633","199","139354","1","1157","615","136768","1429"
"23","KARAULI","220696","20","8655","0","83","49","8410","162"
