"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","741155","87","48526","1","429","192","46459","1638"
"2","ALWAR","1461291","123","83097","1","318","347","80400","2379"
"3","BANSWARA","287535","55","13674","1","106","44","12389","1179"
"4","BARAN","208758","59","14811","0","62","100","14107","642"
"5","BARMER","388088","17","21240","0","198","69","20506","536"
"6","BHARATPUR","451584","17","30852","1","270","94","29662","920"
"7","BHILWARA","476619","105","37439","0","160","470","35774","1505"
"8","BIKANER","684316","88","48933","1","572","42","47520","841"
"9","BUNDI","213981","8","9530","0","52","94","9132","346"
"10","CHITTORGARH","433892","11","28840","0","140","396","28866","-166"
"11","CHURU","394697","8","20121","0","112","0","19317","692"
"12","DAUSA","260707","7","15567","0","74","35","15203","290"
"13","DHOLPUR","262460","21","13531","0","49","134","12994","488"
"14","DUNGARPUR","317947","24","25003","0","134","50","23622","1247"
"15","GANGANAGAR","395179","92","26823","0","156","570","24802","1865"
"16","HANUMANGARH","462378","1","21873","0","114","12","21004","755"
"17","JAIPUR","3070253","403","264155","2","2080","1809","252399","9676"
"18","JAISALMER","234573","76","16518","0","68","94","16007","443"
"19","JALORE","426732","2","10489","0","77","10","10327","85"
"20","JHALAWAR","347307","52","17179","2","201","98","16638","340"
"21","JHUNJHUNU","456647","131","18269","0","175","122","17128","966"
"22","JODHPUR","1324153","239","138252","0","1150","633","134296","2806"
"23","KARAULI","218697","46","8582","0","83","0","8271","228"
