"S. No","Subject","Number"
"1","Total Number of people vaccinated on 26th Jan","6,33,360"
"2","First Dose on 26th Jan","75,049"
"3","Second Dose on 26th Jan","5,05,677"
"4","Precaution Dose on 26th Jan","52,634"
"5","Cumulative Vaccination till 26th Jan","11,82,73,919"
"6","Cumulative Vaccination First Dose","6,87,58,764"
"7","Cumulative Vaccination Second Dose","4,88,36,608"
"8","Cumulative Precaution Dose","6,78,547"
"9","Number of CVC (Common Vaccination Centres)","5,666"
"10","Cumulative AEFI cases reported","6,690"
"11","Vaccine wastage","-7%"
