"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","23,772"
"2","Number of persons tested positive today in Tamil Nadu","1,252"
"3","Total Number of persons tested positive till date","34,41,783"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","83,861/ 
6,36,46,948@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","82,272/ 
6,24,81,927"
"6","No. of Male / Female / Transgender tested positive today","740/512/0"
"7","No. of Male / Female / Transgender tested positive till date","20,08,837/14,32,908/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","4,768/ 
33,80,049"
"10","Total number of deaths today/ till date","6(3 Private &  
3 Govt) /37,962"
