"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1863614","20854078"
"2","Total No. of patients tested Positive","24407","784935"
"3","No. of patients discharged","23996","764270"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","6482"
"6","Test conducted on the day","","6369"
"7","Positive cases on the day","","12"
"8","Number of active Cases","","155"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218889"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117946"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","0"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211985"
"18","Frontline Workers vaccinated with 2nd dose on the day","","2"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019315"
"20","Above 45 Vaccinated with 1st dose on the day","","6"
"21","Total Above 45 Vaccinated with 1st dose","","8346884"
"22","Above 45 Vaccinated with 2nd dose on the day","","11"
"23","Total Above 45 Vaccinated with 2nd dose","","7652704"
"24","18-44 years age group Vaccinated with 1st dose on the day","","16"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662323"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","43"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10700535"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114849"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","10"
"31","Total 15-17 years age group Vaccinated with 2nddose","","863895"
"32","12-14 years age group Vaccinated with 1st dose on the day","","12"
"33","Total 12-14 years age group Vaccinated with 1st dose","","679738"
"34","12-14 years age group Vaccinated with 2nddose on the day","","13"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","488777"
"36","Precautionary dose given on the day","","230"
"37","Total Precautionary dose given","","1793435"
"38","Total Vaccination 1st dose on the day","","23"
"39","Total Vaccination 2nd dose on the day","","56"
"40","Total Vaccination 1st and 2nd dose on the day","","79"
