"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17453","","3619","","21072",""
"2","Total Active Cases","122 
(0.7%)","","03 
(0.1%)","","125 
(0.59%)",""
"3","Total Cured/ Discharged","17180 
(98.4%)","","3558 
(98.3%)","","20738 
(98.4%)",""
"4","Total Died","151 
(0.87%)","","58 
(1.60%)","","209 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","0","","16",""
"6","Total Positive cases in Home Isolation","105","","03","","108",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","01","","0","","01",""
"9","No. of Samples Tested (Today)","353","","27","","380",""
"10","No. of Samples Positive (Today)","13","","00","","13",""
"11","No. of Samples Negative (Today)","340","","27","","367",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","80 
          00 
     00 
          06 
          86"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(08/11/2021)","","Test Done Today 
(09/11/2021)","","Cumulative"
"","","a)  RTPCR","217441","","318                   217759","",""
"","","b)  TRUENAT","10994","","03","","10997"
"","","c)  RAT","329168","","59","","329227"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","557750","","380","","558130"
