"S. No","Subject","Number"
"1","Total Number of people vaccinated on 16th Feb","5,28,780"
"2","First Dose on 16th Feb","38,049"
"3","Second Dose on 16th Feb","4,56,485"
"4","Precaution Dose on 16th Feb","34,246"
"5","Cumulative Vaccination till 16th Feb","12,63,78,614"
"6","Cumulative Vaccination First Dose","6,94,70,494"
"7","Cumulative Vaccination Second Dose","5,54,61,338"
"8","Cumulative Precaution Dose","14,46,782"
"9","Number of CVC (Common Vaccination Centres)","5,021"
"10","Cumulative AEFI cases reported","6,906"
"11","Vaccine wastage","-7%"
