"Total No. of Sample Taken Today","32865"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","3148"
"Total Active COVID-19 Patients","18595"
"Total No. of Active Cases under Home Isolation (03-02-2022)","17446"
"Total No. of Samples found Positive till date 
Total Omicron Cases:643 (Active – 3, Discharged - 640)","958841"
"Total Positive COVID-19 Patients Recovered / Discharged till date","929870"
"No. of Deaths","10353"
"Total No. of People Vaccinated today","90950 
(1st Dose: 23351, 
2nd Dose: 63862 
Precaution Dose: 3737)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18 yrs above population)","22557163 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 82% for 18yrs above population)","16820166 (82%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","158597"
"Cumulative Coverage of Total COVID-19 Vaccination","39535926"
"COVID-19 Today (03-02-2022) Positivity Rate","9.35%"
"Recovery Rate","96.98%"
"Fatality Rate","1.08%"
"Tests Per Million Population","629222"
