"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22579","","5256","","27835",""
"2","Total Active Cases","289 
(1.3%)","","52 
(1%)","","341 
(1.2%)",""
"3","Total Cured/ Discharged","22122 
(97.9%)","","5144                                  
(97.9%)","","(97.9%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","1","","18",""
"6","Total Positive cases in Home Isolation","159","","51","","210",""
"7","COVID Care Centre","113","","00","","113",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","1170","","154","","1324",""
"10","No. of Samples Positive (Today)","31","","03","","34",""
"11","No. of Samples Negative (Today)","1133","","151","","1284",""
"12","Repeat Positive/ Resampling (Today)","06","","00","","06",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","1104 
        00 
        00 
        71 
       1175"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(19/01/2022)","","Test Done Today 
(20/02/2022)","","Cumulative"
"","","a)  RTPCR","296548","","1238","","297786"
"","","b)  TRUENAT","12082","","30","","12112"
"","","c)  RAT","345988","","56","","346044"
"","","d)  CBNAAT","755","","00","","755"
"","","TOTAL","655373","","1324","","656697"
