"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","232","24","0","45","173"
"2","ALWAR","182","6","0","16","378"
"3","BANSWARA","53","2","0","1","35"
"4","BARAN","45","0","0","0","0"
"5","BARMER","15","0","0","0","2"
"6","BHARATPUR","116","27","0","160","413"
"7","BHILWARA","48","18","0","9","71"
"8","BIKANER","151","8","0","0","44"
"9","BUNDI","13","11","0","0","49"
"10","CHITTORGARH","11","11","0","45","137"
"11","CHURU","0","0","0","0","11"
"12","DAUSA","70","0","0","10","99"
"13","DHOLPUR","6","0","0","0","12"
"14","DUNGARPUR","3","4","0","34","38"
"15","GANGANAGAR","6","1","0","1","4"
"16","HANUMANGARH","47","1","0","3","11"
"17","JAIPUR","962","195","3","272","1480"
"18","JAISALMER","3","2","0","10","23"
"19","JALORE","10","1","0","0","13"
"20","JHALAWAR","39","2","0","1","28"
"21","JHUNJHUNU","271","5","0","0","7"
"22","JODHPUR","220","25","0","11","158"
"23","KARAULI","13","0","0","0","0"
"24","KOTA","201","3","0","4","56"
"25","NAGAUR","99","8","0","0","85"
"26","PALI","227","8","0","26","57"
