"Total No. of Sample Taken Today","12576"
"Total No. of Positive Cases Detected Today","10"
"Total Positive Cases under Home Isolation (31-10-2021)","103"
"Total No. of Samples Sent till date","13045080"
"Total No. of Samples found Positive till date","771262 
(M: 471297 
F: 299948 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761075"
"Total Active COVID-19 Patients","115"
"No. of Deaths","10049"
"Total No. of People Vaccinated today","31321 
(1st Dose: 10175, 
2nd Dose: 21146"
"Cumulative Coverage of Vaccination","25916509"
"COVID-19 Today (01-11-2021) Positivity Rate","0.05%"
"COVID-19 Cumulative Positivity Rate","5.92%"
"Recovery Rate","98.68%"
"Fatality Rate","1.30%"
"Tests Per Million Population","514599"
