"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","772877","1","49697","0","446","3","49246","5"
"2","ALWAR","1558265","1","84428","0","320","7","84090","18"
"3","BANSWARA","306100","2","14746","0","106","3","14618","22"
"4","BARAN","225197","0","15241","0","64","0","15171","6"
"5","BARMER","398570","0","21452","0","205","0","21245","2"
"6","BHARATPUR","471619","2","31425","0","272","5","31141","12"
"7","BHILWARA","497960","0","38176","0","162","2","38010","4"
"8","BIKANER","721027","0","49878","0","586","2","49282","10"
"9","BUNDI","225615","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","446403","0","29362","0","140","0","29221","1"
"11","CHURU","420223","2","20807","0","114","4","20685","8"
"12","DAUSA","281701","0","15773","0","80","0","15689","4"
"13","DHOLPUR","273509","1","13748","0","49","0","13696","3"
"14","DUNGARPUR","325834","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","417306","0","28134","0","158","6","27961","15"
"16","HANUMANGARH","481251","4","22503","0","114","7","22348","41"
"17","JAIPUR","3288781","31","274153","0","2111","71","271754","288"
"18","JAISALMER","240613","0","17036","0","68","0","16968","0"
"19","JALORE","438527","0","10539","0","78","0","10459","2"
"20","JHALAWAR","369482","0","17706","0","207","2","17497","2"
"21","JHUNJHUNU","483657","0","19158","0","181","0","18974","3"
"22","JODHPUR","1385200","15","140997","0","1163","0","139741","93"
"23","KARAULI","232917","2","8967","0","84","0","8879","4"
