"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23762","","5323","","29085",""
"2","Total Active Cases","60 
(0.25%)","","05 
(0.1%)","","65 
(0.22%)",""
"3","Total Cured/Discharged","23534 
(99%)","","5258 
(98.8%)","","28792 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","44","","05","","49",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","123","","06","","129",""
"10","No. of Samples Positive (Today)","08","","00","","08",""
"11","No. of Samples Negative (Today)","115","","06","","121",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","60 
00 
04 
00 
64"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(14/08/2022)","","Test Done Today 
(15/08/2022)","","Cumulative"
"","","a)RTPCR","34622","","68","","34690"
"","","b)TRUENAT","14787","","03","","14790"
"","","c)RAT","357952","","58","","358010"
"","","d)  CBNAAT","1196","","00","","1196"
"","","TOTAL","708557","","129","","708686"
