"1","Total Samples taken","16294026"
"2","Sample collected on the day","12959"
"3","Test conducted on the day","24455"
"4","Total No. of patients tested Positive","603509"
"5","No. of patients discharged","586565"
"6","Number of active Cases","333"
"7","Total Deaths reported","16611"
"8","No. of Patients on oxygen support","36"
"9","Patients at critical care Level-3 facilities","14"
"10","Patients who are critical and on ventilator support","0"
"11","Healthcare Workers vaccinated with 1st dose on the day","3"
"12","Total Healthcare Workers vaccinated with 1st dose","217117"
"13","Frontline Workers vaccinated with 1st dose on the day","54"
"14","Total Frontline Workers vaccinated with 1st dose","1153436"
"15","Healthcare Workers vaccinated with 2nd dose on the day","55"
"16","Total Healthcare Workers vaccinated with 2nd dose","139106"
"17","Frontline Workers vaccinated with 2nd dose on the day","308"
"18","Total Frontline Workers vaccinated with 2nd dose","338611"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","57"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","363"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1370553"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","477717"
"23","Above 45 Vaccinated with 1st dose on the day","8006"
"24","Total Above 45 Vaccinated with 1st dose","6339142"
"25","Above 45 Vaccinated with 2nd dose on the day","24953"
"26","Total Above 45 Vaccinated with 2nd dose","3462675"
"27","18-44 years age group Vaccinated with 1st dose on the day","22822"
"28","Total 18-44 years age group Vaccinated with 1st dose","8856867"
"29","18-44 years age group Vaccinated with 2nd dose on the day","58759"
"30","Total 18-44 years age group Vaccinated with 2nd dose","4066228"
"31","Total Vaccination 1st dose on the day","30885"
"32","Total Vaccination 2nd dose on the day","84075"
"33","Total Vaccination 1st and 2nd dose on the day","114960"
