"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","663313","17","37947","0","410","2","37459","78"
"2","ALWAR","1326147","17","59814","0","307","0","59439","68"
"3","BANSWARA","256787","1","10008","0","104","0","9901","3"
"4","BARAN","179673","0","12000","0","61","0","11939","0"
"5","BARMER","344548","0","15587","0","186","1","15400","1"
"6","BHARATPUR","399144","5","19620","0","260","0","19346","14"
"7","BHILWARA","421725","6","29829","0","156","2","29637","36"
"8","BIKANER","621210","5","40458","0","546","4","39863","49"
"9","BUNDI","189053","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","380510","1","19813","0","139","0","19670","4"
"11","CHURU","345109","0","16724","0","108","0","16615","1"
"12","DAUSA","226759","1","13360","0","62","0","13294","4"
"13","DHOLPUR","235948","0","11016","0","48","0","10962","6"
"14","DUNGARPUR","263723","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","354140","6","19391","0","151","0","19211","29"
"16","HANUMANGARH","414214","0","16083","0","111","0","15965","7"
"17","JAIPUR","2671879","414","189636","0","1971","17","186256","1409"
"18","JAISALMER","214335","0","13651","0","66","0","13585","0"
"19","JALORE","393174","0","10068","0","72","0","9996","0"
"20","JHALAWAR","312939","0","13614","0","187","1","13427","0"
"21","JHUNJHUNU","409248","1","14835","0","160","2","14668","7"
"22","JODHPUR","1200047","28","112631","0","1103","3","111349","179"
"23","KARAULI","189642","0","7156","0","70","0","7086","0"
