"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24033","","5338","","29371",""
"2","Total Active Cases","08 
(0.03%)","","00 
(0%)","","08 
(0.03%)",""
"3","Total Cured/Discharged","23854 
(99.25%)","","5278 
(98.9%)","","29132 
(99.19%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","92","","07","","99",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","92","","07","","99",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
00 
01 
00 
54"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(15/10/2022)","","Test Done Today 
(16/10/2022)","","Cumulative"
"","","a)RTPCR","340389","","70","","340459"
"","","b)TRUENAT","15475","","12","","15487"
"","","c)RAT","363997","","17","","364014"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721086","","99","","721185"
