"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","787213","2","49763","0","447","0","49296","20"
"2","ALWAR","1608017","0","84609","0","320","0","84237","52"
"3","BANSWARA","317669","0","14765","0","106","0","14659","0"
"4","BARAN","235352","0","15281","0","64","0","15187","30"
"5","BARMER","403332","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476259","0","31451","0","272","0","31179","0"
"7","BHILWARA","506832","0","38182","0","162","0","38019","1"
"8","BIKANER","741860","2","49935","0","586","6","49336","13"
"9","BUNDI","233805","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","451848","0","29383","0","140","0","29237","6"
"11","CHURU","434117","0","20833","0","114","0","20717","2"
"12","DAUSA","291407","0","15812","0","80","0","15713","19"
"13","DHOLPUR","284391","1","13944","0","49","2","13877","18"
"14","DUNGARPUR","327710","0","25498","0","134","0","25363","1"
"15","GANGANAGAR","422450","3","28148","0","158","0","27985","5"
"16","HANUMANGARH","488299","0","22518","0","114","0","22404","0"
"17","JAIPUR","3412874","30","275797","0","2112","13","273414","271"
"18","JAISALMER","242396","0","17036","0","68","0","16968","0"
"19","JALORE","444958","0","10546","0","78","0","10468","0"
"20","JHALAWAR","394356","5","17727","0","207","0","17508","12"
"21","JHUNJHUNU","492324","0","19158","0","181","0","18977","0"
"22","JODHPUR","1420558","1","141116","0","1164","2","139943","9"
"23","KARAULI","238061","0","8968","0","84","0","8884","0"
