"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","324"
"2","Number of persons tested positive today in Tamil Nadu","34"
"3","Total Number of persons tested positive till date","34,54,686"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,587/ 
6,64,30,241@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,573/ 
6,52,53,123"
"6","No. of Male / Female / Transgender tested positive today","14/20/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,161/14,38,487/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","42/ 
34,16,337"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
