"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19739","","3961","","23700",""
"2","Total Active Cases","800 
(4.1%)","","165 
(4.2%)","","965 
(4.1%)",""
"3","Total Cured/ Discharged","18775 
(95.1%)","","3738                                  
(94.4%)","","(94.9%)",""
"4","Total Died","164 
(0.83%)","","58 
(1.5%)","","222 
(0.94%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","02","","24",""
"6","Total Positive cases in Home Isolation","639","","163","","802",""
"7","COVID Care Centre","95","","0","","95",""
"8","Facility Isolation","44","","0","","44",""
"9","No. of Samples Tested (Today)","596","","241","","837",""
"10","No. of Samples Positive (Today)","118","","46","","164",""
"11","No. of Samples Negative (Today)","477","","195","","672",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","295 
          00 
      00 
           68 
          363"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(17/01/2022)","","Test Done Today 
(18/01/2022)","","Cumulative"
"","","a)  RTPCR","265435","","660","","266095"
"","","b)  TRUENAT","11408","","07","","11415"
"","","c)  RAT","341385","","157","","341542"
"","","d)  CBNAAT","221","","13","","234"
"","","TOTAL","618449","","837","","619286"
