"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","723962","298","46220","1","423","655","43180","2617"
"2","ALWAR","1428680","746","79827","0","316","1222","72720","6791"
"3","BANSWARA","280490","212","12481","0","104","185","11000","1377"
"4","BARAN","201490","145","13926","0","62","94","12947","917"
"5","BARMER","379956","127","20692","1","196","472","19256","1240"
"6","BHARATPUR","440214","393","29426","1","264","614","26231","2931"
"7","BHILWARA","464500","231","35487","0","157","391","32886","2444"
"8","BIKANER","670131","204","47765","2","567","210","45915","1283"
"9","BUNDI","207955","83","9010","0","50","81","8514","446"
"10","CHITTORGARH","422891","451","27341","0","139","648","25816","1386"
"11","CHURU","384056","95","19329","0","109","159","18426","794"
"12","DAUSA","252161","33","15240","1","70","72","14606","564"
"13","DHOLPUR","256261","133","12909","0","49","88","11924","936"
"14","DUNGARPUR","307368","355","23101","0","133","576","21371","1597"
"15","GANGANAGAR","385232","270","24387","0","153","120","21144","3090"
"16","HANUMANGARH","453751","189","20911","0","113","311","18948","1850"
"17","JAIPUR","2980585","2408","252664","4","2036","4871","230238","20390"
"18","JAISALMER","230586","113","15747","0","68","131","15203","476"
"19","JALORE","419354","16","10394","1","76","44","10117","201"
"20","JHALAWAR","339248","160","16339","0","198","202","15362","779"
"21","JHUNJHUNU","444647","96","17003","2","169","36","15886","948"
"22","JODHPUR","1293700","999","133029","1","1136","1200","127427","4466"
"23","KARAULI","211666","71","8254","1","76","108","7833","345"
