"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","779718","0","49712","0","446","0","49260","6"
"2","ALWAR","1580303","0","84453","0","320","2","84127","6"
"3","BANSWARA","311101","0","14762","0","106","1","14656","0"
"4","BARAN","229023","0","15247","0","64","0","15181","2"
"5","BARMER","400476","0","21454","0","205","2","21249","0"
"6","BHARATPUR","476071","0","31450","0","272","0","31177","1"
"7","BHILWARA","502843","0","38176","0","162","0","38014","0"
"8","BIKANER","728165","0","49893","0","586","2","49300","7"
"9","BUNDI","228629","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","448303","0","29374","0","140","0","29231","3"
"11","CHURU","429459","0","20819","0","114","1","20703","2"
"12","DAUSA","285998","0","15773","0","80","0","15693","0"
"13","DHOLPUR","275969","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326876","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","420503","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486210","0","22516","0","114","0","22400","2"
"17","JAIPUR","3337695","2","274393","0","2111","3","272219","63"
"18","JAISALMER","241343","0","17036","0","68","0","16968","0"
"19","JALORE","440844","0","10545","0","78","0","10467","0"
"20","JHALAWAR","378690","0","17707","0","207","0","17499","1"
"21","JHUNJHUNU","489696","0","19158","0","181","0","18977","0"
"22","JODHPUR","1404093","2","141069","0","1164","3","139887","18"
"23","KARAULI","235977","0","8968","0","84","0","8884","0"
