"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","438"
"2","Number of persons tested positive today in Tamil Nadu","41"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi-1"
"","Total","42"
"3","Total Number of persons tested positive till date","34,54,512"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,926/ 
6,63,56,068@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,912/ 
6,51,79,045"
"6","No. of Male / Female / Transgender tested positive today","22/20/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,061/14,38,413/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","43/ 
34,16,049"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
