"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 21-07-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1384","",""
"","","2","Total Discharges","3943444","",""
"","","3","Today's Tests Conducted","33671","",""
"","","4","Total Tests Conducted","67513540","",""
"","","5","Today’s New Cases Reported (20.07.2022, 00:00 to 23:59)","1552","",""
"","","6","Total Active Cases","8033","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40090","",""
"","","9","Total Positive Cases","3991609","",""
"","","10","Positivity Rate for the day (20.07.2022, 00:00 to 23:59)","4.60%","",""
"","","11","*Weekly Total Positivity Rate","4.62%","",""
"","","12","Case Fatality Rate (CFR) for the day (20.07.2022, 00:00 to 23:59)","0.06%","",""
"","","13","*Weekly Case Fatality Rate","0.06%","",""
"*From 15-07-2022 to  21-07-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
6753* 
1251125 
           Date: 20-07-2022  
 
Date: 21-07-2022 
Page 1 of 9","","","","","",""
