"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22880","","5273","","28153",""
"2","Total Active Cases","73 
(0.32%)","","02 
(0.04%)","","75 
(0.27%)",""
"3","Total Cured/ Discharged","22639 
(98.9%)","","5211                                  
(98.8%)","","(98.9%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","20","","02","","22",""
"7","COVID Care Centre","47","","00","","47",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","546","","133","","679",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","532","","133","","665",""
"12","Repeat Positive/ Resampling (Today)","05","","00","","05",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","311 
        00 
        00 
        04 
       315"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(09/03/2022)","","Test Done Today 
(10/03/2022)","","Cumulative"
"","","a)  RTPCR","308926","","634","","309560"
"","","b)  TRUENAT","12518","","17","","12535"
"","","c)  RAT","347075","","21","","347096"
"","","d)  CBNAAT","833","","07","","840"
"","","TOTAL","669352","","679","","670031"
