"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,256"
"2","Number of persons tested positive today in Tamil Nadu","442"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","443"
"3","Total Number of persons tested positive till date","35,85,006"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","13,070/ 
6,94,79,914@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,895/ 
6,82,61,008"
"6","No. of Male / Female / Transgender tested positive today","256/187/0"
"7","No. of Male / Female / Transgender tested positive till date","20,90,340/14,94,628/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","526/ 
35,41,703"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,047"
