"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,947"
"2","Number of persons tested positive today in Tamil Nadu","601"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Telangana-1"
"","Passengers returned from other states  by Road tested 
positive today","Assam-1"
"","Total","603"
"3","Total Number of persons tested positive till date","35,63,322"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","21,612/ 
6,86,86,410@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","21,364/ 
6,74,74,958"
"6","No. of Male / Female / Transgender tested positive today","364/239/0"
"7","No. of Male / Female / Transgender tested positive till date","20,77,950/14,85,334/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","743/ 
35,19,342"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
