"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227050","221170","5876","4"
"12","Nashik","472845","463920","8910","15"
"13","Ahmednagar","377659","370400","7242","17"
"14","Jalgaon","149525","146762","2761","2"
"15","Nandurbar","46615","45652","962","1"
"16","Dhule","50751","50068","670","13"
"17","Aurangabad","176521","172234","4284","3"
"18","Jalna","66322","65098","1224","0"
"19","Beed","109179","106292","2883","4"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58549","57270","1278","1"
"22","Hingoli","22172","21656","514","2"
"23","Nanded","102662","99956","2704","2"
"24","Osmanabad","75151","73010","2139","2"
"25","Amravati","105943","104319","1623","1"
"26","Akola","66181","64711","1470","0"
"27","Washim","45620","44978","641","1"
"28","Buldhana","92007","91171","835","1"
"29","Yavatmal","81979","80159","1820","0"
"30","Nagpur","576387","567167","9215","5"
"31","Wardha","65669","64261","1408","0"
"32","Bhandara","67941","66799","1142","0"
"33","Gondia","45421","44833","587","1"
"34","Chandrapur","98820","97228","1592","0"
