"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","988609","19977487"
"2","Total No. of patients tested Positive","5482","764513"
"3","No. of patients discharged","4331","745581"
"4","Total Deaths reported","38","17784"
"5","Sample collected on the day","","12458"
"6","Test conducted on the day","","12067"
"7","Positive cases on the day","","201"
"8","Number of active Cases","","1148"
"9","No. of Patients on oxygen support","","39"
"10","Patients at critical care Level-3 facilities","","6"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","6"
"13","Total Healthcare Workers vaccinated with 1st dose","","218737"
"14","Frontline Workers vaccinated with 1st dose on the day","","10"
"15","Total Frontline Workers vaccinated with 1st dose","","1117565"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","28"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211016"
"18","Frontline Workers vaccinated with 2nd dose on the day","","194"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015520"
"20","Above 45 Vaccinated with 1st dose on the day","","279"
"21","Total Above 45 Vaccinated with 1st dose","","8329758"
"22","Above 45 Vaccinated with 2nd dose on the day","","5879"
"23","Total Above 45 Vaccinated with 2nd dose","","7516578"
"24","18-44 years age group Vaccinated with 1st dose on the day","","904"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12603055"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","12482"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10377108"
"28","15-17 years age group Vaccinated with 1st dose on the day","","435"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1091879"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2609"
"31","Total 15-17 years age group Vaccinated with 2nddose","","788507"
"32","12-14 years age group Vaccinated with 1st dose on the day","","965"
"33","Total 12-14 years age group Vaccinated with 1st dose","","606823"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2985"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","365764"
"36","Precautionary dose given on the day","","3908"
"37","Total Precautionary dose given","","768157"
"38","Total Vaccination 1st dose on the day","","1199"
"39","Total Vaccination 2nd dose on the day","","18583"
"40","Total Vaccination 1st and 2nd dose on the day","","19782"
