"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","782124","1","49718","0","446","0","49269","3"
"2","ALWAR","1589878","0","84453","0","320","0","84133","0"
"3","BANSWARA","313440","0","14763","0","106","0","14656","1"
"4","BARAN","230968","0","15247","0","64","0","15183","0"
"5","BARMER","401245","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476169","0","31450","0","272","0","31178","0"
"7","BHILWARA","504394","0","38176","0","162","0","38014","0"
"8","BIKANER","732621","0","49901","0","586","0","49311","4"
"9","BUNDI","230287","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","449610","0","29374","0","140","0","29234","0"
"11","CHURU","431435","0","20819","0","114","0","20705","0"
"12","DAUSA","287428","1","15775","0","80","0","15694","1"
"13","DHOLPUR","277892","0","13754","0","49","0","13702","3"
"14","DUNGARPUR","327142","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421231","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486925","0","22516","0","114","0","22402","0"
"17","JAIPUR","3357341","21","274547","0","2111","6","272326","110"
"18","JAISALMER","241793","0","17036","0","68","0","16968","0"
"19","JALORE","442046","0","10545","0","78","0","10467","0"
"20","JHALAWAR","384339","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","490753","0","19158","0","181","0","18977","0"
"22","JODHPUR","1409748","1","141087","0","1164","3","139919","4"
"23","KARAULI","236200","0","8968","0","84","0","8884","0"
