"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","730"
"2","Number of persons tested positive today in Tamil Nadu","61"
"3","Total Number of persons tested positive till date","34,52,276"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","38,500/ 
6,51,94,914@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","38,458/ 
6,40,18,735"
"6","No. of Male / Female / Transgender tested positive today","29/32/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,885/14,37,353/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","127/ 
34,13,521"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
