"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40678","0","40309","2","0","367","0"
"2","Ballari","0","115506","2","113724","17","1","1763","2"
"3","Belagavi","5","100120","3","99088","29","0","1001","2"
"4","Bengaluru Rural","0","79274","1","78356","12","0","906","0"
"5","Bengaluru Urban","138","1780916","110","1762224","1741","1","16950","1"
"6","Bidar","0","29806","0","29380","2","0","420","4"
"7","Chamarajanagara","0","43615","0","43079","1","0","524","11"
"8","Chikkaballapura","1","55619","3","55153","6","0","459","1"
"9","Chikkamagaluru","1","57240","1","56828","6","0","406","0"
"10","Chitradurga","8","46306","8","46023","44","0","239","0"
"11","Dakshina 
Kannada","2","135470","4","133597","24","0","1839","10"
"12","Davanagere","0","57534","2","56909","2","0","623","0"
"13","Dharwada**","1","84065","1","82664","11","0","1383","7"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143856","0","142546","3","0","1305","2"
"16","Haveri","1","26839","0","26167","4","0","668","0"
"17","Kalaburagi","1","76598","2","75704","14","0","880","0"
"18","Kodagu","0","49263","0","48907","3","0","352","1"
"19","Kolara","3","62984","1","62315","5","0","664","0"
"20","Koppala","0","41281","1","40743","0","0","538","0"
"21","Mandya","1","101481","1","100766","4","0","711","0"
"22","Mysuru","5","229443","6","226847","38","0","2558","0"
"23","Raichuru","0","45446","0","45081","1","0","364","0"
"24","Ramanagara","0","29789","0","29437","5","0","347","0"
"25","Shivamogga","2","83319","1","82165","25","0","1128","1"
"26","Tumakuru","2","159827","5","158599","12","0","1216","0"
"27","Udupi","0","95593","1","95043","4","0","546","0"
"28","Uttara Kannada","2","71161","0","70342","10","0","809","0"
"29","Vijayapura","0","40995","0","40473","3","0","519","0"
"30","Yadagiri","0","29962","0","29747","3","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","173","3944605","153","3902497","2031","2","40035","42"
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 19-03-2022 
Page 5 of 7","","","","","","","","",""
