"Total No. of Sample Taken Today","35324"
"Total No. of Positive Cases Detected Today","23"
"Total Positive Cases under Home Isolation (17-12-2021)","172"
"Total No. of Samples Sent till date","14193628"
"Total No. of Samples found Positive till date","772164 
(M: 471778 
F: 300369 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761877"
"Total Active COVID-19 Patients","203"
"No. of Deaths","10061"
"Total No. of People Vaccinated today","142658 
(1st Dose: 27601, 
2nd Dose: 115057"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","19099809 (93%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","12034017 (58%)"
"Cumulative Coverage of Total COVID-19 Vaccination","31133826"
"COVID-19 Today (18-12-2021) Positivity Rate","0.07%"
"COVID-19 Cumulative Positivity Rate","5.46%"
"Recovery Rate","98.67%"
"Fatality Rate","1.30%"
"Tests Per Million Population","559906"
