"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23134","","5284","","28418",""
"2","Total Active Cases","79 
(0.34%)","","00 
(0%)","","79 
(0.28%)",""
"3","Total Cured/Discharged","22887 
(98.9%)","","5224 
(98.9%)","","28111 
(98.9%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.80%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","00","","12",""
"6","Total Positive cases in Home Isolation","62","","00","","62",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","129","","45","","174",""
"10","No. of Samples Positive (Today)","07","","00","","07",""
"11","No. of Samples Negative (Today)","122","","45","","167",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","54 
22 
17 
01 
94"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(29/06/2022)","","Test Done Today 
(30/06/2022)","","Cumulative"
"","","a)RTPCR","327337","","110","","327447"
"","","b)TRUENAT","14356","","09","","14365"
"","","c)RAT","350611","","55","","350666"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","693409","","174","","693583"
