"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","848332","19837204"
"2","Total No. of patients tested Positive","3273","762338"
"3","No. of patients discharged","2398","743648"
"4","Total Deaths reported","23","17769"
"5","Sample collected on the day","","6363"
"6","Test conducted on the day","","6475"
"7","Positive cases on the day","","131"
"8","Number of active Cases","","921"
"9","No. of Patients on oxygen support","","17"
"10","Patients at critical care Level-3 facilities","","7"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218678"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1117491"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","20"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210647"
"18","Frontline Workers vaccinated with 2nd dose on the day","","77"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014086"
"20","Above 45 Vaccinated with 1st dose on the day","","433"
"21","Total Above 45 Vaccinated with 1st dose","","8325979"
"22","Above 45 Vaccinated with 2nd dose on the day","","6937"
"23","Total Above 45 Vaccinated with 2nd dose","","7436684"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1057"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12589781"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","14558"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10209808"
"28","15-17 years age group Vaccinated with 1st dose on the day","","369"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1085432"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2148"
"31","Total 15-17 years age group Vaccinated with 2nddose","","756781"
"32","12-14 years age group Vaccinated with 1st dose on the day","","451"
"33","Total 12-14 years age group Vaccinated with 1st dose","","594723"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1711"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","330899"
"36","Precautionary dose given on the day","","3576"
"37","Total Precautionary dose given","","731341"
"38","Total Vaccination 1st dose on the day","","1504"
"39","Total Vaccination 2nd dose on the day","","21592"
"40","Total Vaccination 1st and 2nd dose on the day","","23096"
