,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Ahmednagar,37,1,76,,11443,19578,0,608,42.0,21.0,157.0,,63126.0,105878.0,0,4543083,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,341680,7127,333687,,2635908,1149658,0,11,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
1,1,1,1,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Akola,1,0,1,,13450,5003,0,3,9.0,0.0,3.0,,84975.0,42890.0,0,1818617,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,58795,1426,57349,,1022458,470315,0,4,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
2,2,2,2,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Amravati,4,0,0,,14832,5994,0,5,-20.0,2.0,0.0,,181894.0,74979.0,0,2887826,,,2 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,96239,1597,94618,,1710301,767712,0,2,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
3,3,3,3,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Aurangabad,44,1,0,,21338,15086,0,150,-108.0,1.0,144.0,,285135.0,152932.0,0,3695928,,,14 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,155663,4255,151253,,2471096,1089216,0,14,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
4,4,4,4,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Beed,10,0,11,,15499,9676,0,60,50.0,6.0,68.0,,108512.0,73930.0,0,2585962,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,104006,2828,101132,,1430498,691918,0,7,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
5,5,5,5,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Bhandara,0,0,0,,2167,10126,0,3,1.0,0.0,1.0,,8839.0,50746.0,0,1198810,,,10 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,60088,1123,58953,,845285,543017,0,10,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
6,6,6,6,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Buldhana,0,0,8,,11998,10382,0,23,12.0,0.0,20.0,,87277.0,68677.0,0,2588039,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,85597,802,84782,,1555667,745528,0,6,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
7,7,7,7,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Chandrapur,2,0,0,,5239,13506,0,14,-11.0,1.0,0.0,,34570.0,76368.0,0,2194262,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,88987,1564,87397,,1430981,640779,0,4,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
8,8,8,8,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Dhule,0,0,0,,6862,6458,0,2,2.0,1.0,5.0,,66843.0,59894.0,0,2048781,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,46187,655,45520,,1208694,672731,0,11,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
9,9,9,9,2021-12-01,MH,767,28,903,108557,379581,526275,0,6452,4168.0,218.0,5916.0,667957.0,2592148.0,3350043.0,0.0,Gadchiroli,0,0,2,,2019,4731,0,6,0.0,0.0,6.0,,10065.0,23839.0,0,1071795,,,33 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,30455,669,29750,,575194,285714,0,33,2022-01-22 00:35:08.610393,122153000,2022-01-22 00:35:08.611252,,3671 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,6636425,141025,6484338,65619951,74687979,40545793,0,3671,9.0,0.0
