"Total No. of Sample Taken Today","12659"
"Total No. of Positive Cases Detected Today","270"
"Total Active COVID-19 Patients","1759"
"Total No. of Active Cases under Home Isolation (30-08-2022)","1667"
"Total No. of Samples found Positive till date","1051878"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1039413"
"No. of Deaths","10683"
"Total No. of People Vaccinated Today","9877 
(1st Dose: 712 
2nd Dose: 2818 
Precaution Dose: 6347)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23646690(100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19757098 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1757084"
"Cumulative Coverage of Total COVID-19 Vaccination","45160872"
"COVID-19 Today (30-08-2022) Positivity Rate","2.64%"
"Recovery Rate","98.81%"
"Fatality Rate","1.02%"
