"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17312","","3618","","20930",""
"2","Total Active Cases","45 
(0.26%)","","04 
(0.11%)","","49 
(0.23%)",""
"3","Total Cured/ Discharged","17117 
(98.9%)","","3556 
(98.3%)","","20673 
(98.8%)",""
"4","Total Died","150 
(0.87%)","","58 
(1.61%)","","208 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","0","","10",""
"6","Total Positive cases in Home Isolation","35","","04","","39",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","00","","0","","00",""
"9","No. of Samples Tested (Today)","346","","47","","393",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","340","","47","","387",""
"12","Repeat Positive/ Resampling (Today)","01","","0","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","112 
       00 
  00 
       08 
       120"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(27/10/2021)","","Test Done Today 
(28/10/2021)","","Cumulative"
"","","a)  RTPCR","214884","","329                   215213","",""
"","","b)  TRUENAT","10964","","03","","10967"
"","","c)  RAT","327857","","61","",""
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","553852","","393","","554245"
