"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1201182","20191645"
"2","Total No. of patients tested Positive","12004","772568"
"3","No. of patients discharged","8978","749253"
"4","Total Deaths reported","66","20372"
"5","Sample collected on the day","","14137"
"6","Test conducted on the day","","13740"
"7","Positive cases on the day","","576"
"8","Number of active Cases","","2943"
"9","No. of Patients on oxygen support","","83"
"10","Patients at critical care Level-3 facilities","","10"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218788"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117687"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","25"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211443"
"18","Frontline Workers vaccinated with 2nd dose on the day","","136"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017316"
"20","Above 45 Vaccinated with 1st dose on the day","","223"
"21","Total Above 45 Vaccinated with 1st dose","","8337110"
"22","Above 45 Vaccinated with 2nd dose on the day","","3031"
"23","Total Above 45 Vaccinated with 2nd dose","","7580539"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1060"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12625693"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","7016"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10522917"
"28","15-17 years age group Vaccinated with 1st dose on the day","","353"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1101919"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1541"
"31","Total 15-17 years age group Vaccinated with 2nddose","","823329"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1142"
"33","Total 12-14 years age group Vaccinated with 1st dose","","638669"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2073"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","423157"
"36","Precautionary dose given on the day","","21468"
"37","Total Precautionary dose given","","1038929"
"38","Total Vaccination 1st dose on the day","","1289"
"39","Total Vaccination 2nd dose on the day","","10208"
"40","Total Vaccination 1st and 2nd dose on the day","","11497"
