"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,811"
"2","Number of persons tested positive today in Tamil Nadu","421"
"3","Total Number of persons tested positive till date","35,74,514"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,786/ 
6,91,41,196@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,636/ 
6,79,25,636"
"6","No. of Male / Female / Transgender tested positive today","248/173/0"
"7","No. of Male / Female / Transgender tested positive till date","20,84,548/14,89,928/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","449/ 
35,31,665"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,038"
