"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","488"
"2","Number of persons tested positive today in Tamil Nadu","39"
"3","Total Number of persons tested positive till date","34,54,058"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,336/ 
6,62,16,244@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,317/ 
6,50,39,390"
"6","No. of Male / Female / Transgender tested positive today","21/18/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,830/14,38,190/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","56/ 
34,15,545"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
