"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17527","","3621","","21148",""
"2","Total Active Cases","149 
(0.85%)","","05 
(0.14%)","","154 
(0.73%)",""
"3","Total Cured/ Discharged","17225 
(98.3%)","","3558 
(98.3%)","","20783 
(98.3%)",""
"4","Total Died","153 
(0.87%)","","58 
(1.60%)","","211 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","01","","19",""
"6","Total Positive cases in Home Isolation","126","","04","","130",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","05","","0","","05",""
"9","No. of Samples Tested (Today)","286","","26","","312",""
"10","No. of Samples Positive (Today)","12","","01","","13",""
"11","No. of Samples Negative (Today)","273","","25","","298",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","46 
          00 
     00 
          14 
          60"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(12/11/2021)","","Test Done Today 
(13/11/2021)","","Cumulative"
"","","a)  RTPCR","219565","","224                   219789","",""
"","","b)  TRUENAT","11010","","02","","11012"
"","","c)  RAT","329487","","86","","329573"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","560209","","312","","560521"
