"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,476"
"2","Number of persons tested positive today in Tamil Nadu","627"
"3","Total Number of persons tested positive till date","27,37,962"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,04,531/ 
5,59,07,306@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,04,302/ 
5,49,71,025"
"6","No. of Male / Female / Transgender tested positive today","365/262/0"
"7","No. of Male / Female / Transgender tested positive till date","15,98,145/11,39,779/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","316 (69 Govt+ 
247 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","687/ 
26,93,830"
"10","Total number of deaths today/ till date","12(4 Private &  
8 Govt) /36,656)"
