"nnexure-3: District Psychosocial support Helpline numbers",""
"District","COVID help line numbers"
"Thiruvananthapuram","9846854844"
"Kollam","0474 2740166, 8281086130"
"Pathanamthitta","8281113911"
"Alappuzha","4792344474"
"Kottayam","9539355724"
"Idukki","04862226929, 9496886418"
"Ernakulam","04842351185, 9846996516"
"Thrissur","04872383155, 8281100729, 
8086007999"
"Palakkad","04912533323"
"Malappuram","7593843617, 7593843625"
"Kozhikode","9495002270"
"Wayanad","9400348670"
"Kannur","04972734343, 9495142091"
"Kasaragod","9072574748, 9447447888"
