"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17931","","3647","","21578",""
"2","Total Active Cases","255 
(1.42%)","","21 
(0.6%)","","276 
(1.3%)",""
"3","Total Cured/ Discharged","17520 
(97.7%)","","3568                                  
(97.8%)","","(97.7%)",""
"4","Total Died","156 
(0.87%)","","58 
(1.6%)","","214 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","32","","00","","32",""
"6","Total Positive cases in Home Isolation","195","","21","","216",""
"7","COVID Care Centre","15","","0","","15",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","748","","703","","1451",""
"10","No. of Samples Positive (Today)","36","","02","","38",""
"11","No. of Samples Negative (Today)","712","","701","","1413",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","89 
           00 
       00 
            12 
          101"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(29/11/2021)","","Test Done Today 
(30/11/2021)","","Cumulative"
"","","a)  RTPCR","230704","","1038","","231742"
"","","b)  TRUENAT","11052","","05","","11057"
"","","c)  RAT","332064","","408","","332472"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","573992","","1451","","575443"
