"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1686790*","20677254*"
"2","Total No. of patients tested Positive","23720","784248"
"3","No. of patients discharged","23179","763453"
"4","Total Deaths reported","192","20497"
"5","Sample collected on the day","","9159"
"6","Test conducted on the day","","8601"
"7","Positive cases on the day","","27"
"8","Number of active Cases","","298"
"9","No. of Patients on oxygen support","","11"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218876"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117919"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211912"
"18","Frontline Workers vaccinated with 2nd dose on the day","","7"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019107"
"20","Above 45 Vaccinated with 1st dose on the day","","36"
"21","Total Above 45 Vaccinated with 1st dose","","8345826"
"22","Above 45 Vaccinated with 2nd dose on the day","","221"
"23","Total Above 45 Vaccinated with 2nd dose","","7647660"
"24","18-44 years age group Vaccinated with 1st dose on the day","","207"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12657699"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","675"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10683240"
"28","15-17 years age group Vaccinated with 1st dose on the day","","69"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113554"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","113"
"31","Total 15-17 years age group Vaccinated with 2nddose","","857966"
"32","12-14 years age group Vaccinated with 1st dose on the day","","214"
"33","Total 12-14 years age group Vaccinated with 1st dose","","672826"
"34","12-14 years age group Vaccinated with 2nddose on the day","","269"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","473351"
"36","Precautionary dose given on the day","","4815"
"37","Total Precautionary dose given","","1707162"
"38","Total Vaccination 1st dose on the day","","245"
"39","Total Vaccination 2nd dose on the day","","907"
"40","Total Vaccination 1st and 2nd dose on the day","","1152"
