"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 30.09.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","125","",""
"","","2","Total Discharges","4021721","",""
"","","3","Today's Tests Conducted","20190","",""
"","","4","Total Tests Conducted","69189164","",""
"","","5","Today’s New Cases Reported (29.09.2022, 00:00 to 23:59)","214","",""
"","","6","Total Active Cases","2821","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40242","",""
"","","9","Total Positive Cases","4064826","",""
"","","10","Positivity Rate for the day (29.09.2022, 00:00 to 23:59)","1.05%","",""
"","","11","*Weekly Total Positivity Rate","1.37%","",""
"","","12","Case Fatality Rate (CFR) for the day (29.09.2022, 00:00 to 23:59)","0.46%","",""
"","","13","*Weekly Case Fatality Rate","0.24%","",""
"*From 24-09-2022   to 30-09-2022 
Particulars 
Today’s 
Cumulative 
4154* 
1557015 
A 
Total Passengers screened at Air ports 
          *Date: 29-09-2022 
 
Date: 30-09-2022 
Page 1 of 7","","","","","",""
