"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","0","5","0","13","16"
"2","ALWAR","53","2","0","0","14"
"3","BANSWARA","177","0","0","0","0"
"4","BARAN","27","0","0","0","0"
"5","BARMER","35","0","0","0","1"
"6","BHARATPUR","6","0","0","0","1"
"7","BHILWARA","15","0","0","0","0"
"8","BIKANER","46","0","1","0","5"
"9","BUNDI","2","0","0","0","0"
"10","CHITTORGARH","7","0","0","2","6"
"11","CHURU","11","0","0","0","0"
"12","DAUSA","3","0","0","1","0"
"13","DHOLPUR","1","0","0","0","0"
"14","DUNGARPUR","14","0","0","0","0"
"15","GANGANAGAR","0","0","0","0","0"
"16","HANUMANGARH","13","0","0","0","2"
"17","JAIPUR","492","17","0","13","128"
"18","JAISALMER","4","0","0","0","0"
"19","JALORE","11","0","0","0","0"
"20","JHALAWAR","24","1","0","0","2"
"21","JHUNJHUNU","6","0","0","0","0"
"22","JODHPUR","90","1","0","2","56"
"23","KARAULI","0","0","0","3","0"
"24","KOTA","125","0","0","0","16"
"25","NAGAUR","0","0","0","0","0"
"26","PALI","26","0","0","7","4"
