"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","229195","223276","5894","25"
"12","Nashik","478527","469464","8918","145"
"13","Ahmednagar","380716","373395","7251","70"
"14","Jalgaon","150207","147437","2762","8"
"15","Nandurbar","46972","46005","963","4"
"16","Dhule","51448","50771","670","7"
"17","Aurangabad","178670","174353","4288","29"
"18","Jalna","67516","66260","1226","30"
"19","Beed","109713","106820","2889","4"
"20","Latur","106433","103887","2489","57"
"21","Parbhani","58797","57513","1281","3"
"22","Hingoli","22449","21926","517","6"
"23","Nanded","103304","100589","2705","10"
"24","Osmanabad","76762","74562","2139","61"
"25","Amravati","107009","105367","1626","16"
"26","Akola","66975","65472","1476","27"
"27","Washim","47388","46704","641","43"
"28","Buldhana","93159","92310","839","10"
"29","Yavatmal","82635","80808","1820","7"
"30","Nagpur","585755","576391","9224","140"
"31","Wardha","66345","64934","1410","1"
"32","Bhandara","69872","68713","1142","17"
"33","Gondia","45990","45390","588","12"
"34","Chandrapur","100078","98445","1597","36"
