"S. No","Subject","Number"
"1","Total Number of people vaccinated on 25th Jan","7,24,474"
"2","First Dose on 25th Jan","83,021"
"3","Second Dose on 25th Jan","5,82,455"
"4","Precaution Dose on 25th Jan","58,998"
"5","Cumulative Vaccination till 25th Jan","11,76,40,559"
"6","Cumulative Vaccination First Dose","6,86,83,715"
"7","Cumulative Vaccination Second Dose","4,83,30,931"
"8","Cumulative Precaution Dose","6,25,913"
"9","Number of CVC (Common Vaccination Centres)","5,801"
"10","Cumulative AEFI cases reported","6,680"
"11","Vaccine wastage","-7%"
