"1","Total Samples taken","*18609131"
"2","Sample collected on the day","20474"
"3","Test conducted on the day","20216"
"4","Total No. of patients tested Positive","758412"
"5","No. of patients discharged","740275"
"6","Positive cases on the day","63"
"7","Number of active Cases","418"
"8","Total Deaths reported","17719"
"9","No. of Patients on oxygen support","35"
"10","Patients at critical care Level-3 facilities","8"
"11","Patients who are critical and on ventilator support","4"
"12","Healthcare Workers vaccinated with 1st dose on the day","5"
"13","Total Healthcare Workers vaccinated with 1st dose","218398"
"14","Frontline Workers vaccinated with 1st dose on the day","10"
"15","Total Frontline Workers vaccinated with 1st dose","1116642"
"16","Healthcare Workers vaccinated with 2nd dose on the day","178"
"17","Total Healthcare Workers vaccinated with 2nd dose","206538"
"18","Frontline Workers vaccinated with 2nd dose on the day","1152"
"19","Total Frontline Workers vaccinated with 2nd dose","996109"
"20","Above 45 Vaccinated with 1st dose on the day","5780"
"21","Total Above 45 Vaccinated with 1st dose","8216098"
"22","Above 45 Vaccinated with 2nd dose on the day","13523"
"23","Total Above 45 Vaccinated with 2nd dose","6590421"
"24","18-44 years age group Vaccinated with 1st dose on the day","12751"
"25","Total 18-44 years age group Vaccinated with 1st dose","12294740"
"26","18-44 years age group Vaccinated with 2nd dose on the day","32424"
"27","Total 18-44 years age group Vaccinated with 2nd dose","8417933"
"28","15-17 years age group Vaccinated with 1st dose on the day","8974"
"29","Total 15-17 years age group Vaccinated with 1st dose","815428"
"30","15-17 years age group Vaccinated with 2nd dose on the day","24431"
"31","Total 15-17 years age group Vaccinated with 2nddose","225379"
"32","Precautionary dose given on the day","2086"
"33","Total Precautionary dose given","403474"
"34","Total Vaccination 1st dose on the day","18546"
"35","Total Vaccination 2nd dose on the day","47277"
"36","Total Vaccination 1st and 2nd dose on the day","65823"
