"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24012","","5338","","29350",""
"2","Total Active Cases","18 
(0.07%)","","00 
(0%)","","18 
(0.06%)",""
"3","Total Cured/Discharged","23823 
(99.2%)","","5278 
(98.9%)","","29101 
(99.15%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","14","","00","","14",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","80","","09","","89",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","75","","09","","84",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","55 
00 
03 
00 
58"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(04/10/2022)","","Test Done Today 
(05/10/2022)","","Cumulative"
"","","a)RTPCR","39584","","51","","39635"
"","","b)TRUENAT","15329","","08","","15337"
"","","c)RAT","363623","","30","","363653"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","719761","","89","","719850"
