"Total No. of Sample Taken Today","35918"
"Total No. of Positive Cases Detected Today","46"
"Total Positive Cases under Home Isolation (22-12-2021)","222"
"Total No. of Samples Sent till date","14352180"
"Total No. of Samples found Positive till date","772372 
(M: 471888 
F: 300467 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761992"
"Total Active COVID-19 Patients","295"
"No. of Deaths","10062"
"Total No. of People Vaccinated today","261959 
(1st Dose: 63314, 
2nd Dose: 198645)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","19293290 (94%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","12727229 (62%)"
"Cumulative Coverage of Total COVID-19 Vaccination","32020519"
"COVID-19 Today (23-12-2021) Positivity Rate","0.13%"
"COVID-19 Cumulative Positivity Rate","5.40%"
"Recovery Rate","98.66%"
"Fatality Rate","1.30%"
"Tests Per Million Population","566161"
