"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","841969",19830841
"2","Total No. of patients tested Positive","3142","762209"
"3","No. of patients discharged","2285","743535"
"4","Total Deaths reported","20","17766"
"5","Sample collected on the day","","14115"
"6","Test conducted on the day","","13439"
"7","Positive cases on the day","","148"
"8","Number of active Cases","","908"
"9","No. of Patients on oxygen support","","8"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218675"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117480"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210627"
"18","Frontline Workers vaccinated with 2nd dose on the day","","15"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014009"
"20","Above 45 Vaccinated with 1st dose on the day","","85"
"21","Total Above 45 Vaccinated with 1st dose","","8325546"
"22","Above 45 Vaccinated with 2nd dose on the day","","1429"
"23","Total Above 45 Vaccinated with 2nd dose","","7429747"
"24","18-44 years age group Vaccinated with 1st dose on the day","","163"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12588724"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2631"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10195250"
"28","15-17 years age group Vaccinated with 1st dose on the day","","55"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1085063"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","451"
"31","Total 15-17 years age group Vaccinated with 2nddose","","754633"
"32","12-14 years age group Vaccinated with 1st dose on the day","","134"
"33","Total 12-14 years age group Vaccinated with 1st dose","","594272"
"34","12-14 years age group Vaccinated with 2nddose on the day","","390"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","329188"
"36","Precautionary dose given on the day","","585"
"37","Total Precautionary dose given","","727765"
"38","Total Vaccination 1st dose on the day","","252"
"39","Total Vaccination 2nd dose on the day","","4080"
"40","Total Vaccination 1st and 2nd dose on the day","","4332"
