"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","613014","3","37783","0","410","2","37362","11"
"2","ALWAR","1218672","0","59696","0","307","0","59388","1"
"3","BANSWARA","222659","0","10005","0","104","0","9901","0"
"4","BARAN","154420","0","11996","0","61","0","11935","0"
"5","BARMER","326389","1","15569","0","185","1","15379","5"
"6","BHARATPUR","380975","0","19601","0","260","0","19341","0"
"7","BHILWARA","384299","0","29782","0","156","0","29625","1"
"8","BIKANER","588932","0","40347","0","545","0","39802","0"
"9","BUNDI","171588","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","353600","0","19809","0","139","0","19670","0"
"11","CHURU","312220","0","16720","0","107","0","16613","0"
"12","DAUSA","205192","0","13351","0","62","0","13289","0"
"13","DHOLPUR","221696","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","243199","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","327774","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","366031","0","16053","0","111","0","15942","0"
"17","JAIPUR","2501135","10","187872","0","1970","13","185851","51"
"18","JAISALMER","203041","0","13639","0","66","0","13573","0"
"19","JALORE","370332","0","10067","0","72","0","9995","0"
"20","JHALAWAR","273447","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","363827","0","14811","0","158","0","14653","0"
"22","JODHPUR","1147793","0","112415","0","1103","1","111311","1"
"23","KARAULI","167039","0","7156","0","70","0","7086","0"
