"Total No. of Sample Taken Today","14658"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","232"
"Total Active COVID-19 Patients","1532"
"Total No. of Active Cases under Home Isolation (02-03-2022)","1410"
"Total No. of Samples found Positive till date 
Total Omicron Cases:830 (Active – 0, Discharged - 830)","982189"
"Total Positive COVID-19 Patients Recovered / Discharged till date","970066"
"No. of Deaths","10568"
"Total No. of People Vaccinated today","28428 
(1st Dose: 4334, 
2nd Dose: 22889 
Precaution Dose: 1205)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","22859109 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 85% for 18yrs above population)","18050238 (85%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","238951"
"Cumulative Coverage of Total COVID-19 Vaccination","41148298"
"COVID-19 Today (02-03-2022) Positivity Rate","1.30%"
"Recovery Rate","98.77%"
"Fatality Rate","1.08%"
"Tests Per Million Population","655196"
