"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22954","","5278","","28232",""
"2","Total Active Cases","06 
(0.03%)","","03 
(0.06%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","22780 
(99.2%)","","5215 
(98.8%)","","27995 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","04","","03","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","150","","50","","200",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","150","","50","","200",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","29 
00 
00 
00 
29"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(08/04/2022)","","Test Done Today 
(09/04/2022)","","Cumulative"
"","","a)RTPCR","317591","","139","","317730"
"","","b)TRUENAT","13186","","18","","13204"
"","","c)RAT","347813","","39","","347852"
"","","d)  CBNAAT","1066","","04","","1070"
"","","TOTAL","679656","","200","","679856"
