"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","708551","19697420"
"2","Total No. of patients tested Positive","1698","760771"
"3","No. of patients discharged","1466","742716"
"4","Total Deaths reported","10","17756"
"5","Sample collected on the day","","3513"
"6","Test conducted on the day","","6847"
"7","Positive cases on the day","","60"
"8","Number of active Cases","","299"
"9","No. of Patients on oxygen support","","7"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218646"
"14","Frontline Workers vaccinated with 1st dose on the day","","10"
"15","Total Frontline Workers vaccinated with 1st dose","","1117395"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","30"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210369"
"18","Frontline Workers vaccinated with 2nd dose on the day","","73"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013202"
"20","Above 45 Vaccinated with 1st dose on the day","","639"
"21","Total Above 45 Vaccinated with 1st dose","","8320135"
"22","Above 45 Vaccinated with 2nd dose on the day","","7102"
"23","Total Above 45 Vaccinated with 2nd dose","","7352045"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1486"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12574485"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15298"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10045265"
"28","15-17 years age group Vaccinated with 1st dose on the day","","476"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1081023"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1944"
"31","Total 15-17 years age group Vaccinated with 2nddose","","734822"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1054"
"33","Total 12-14 years age group Vaccinated with 1st dose","","587543"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2454"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","307628"
"36","Precautionary dose given on the day","","4682"
"37","Total Precautionary dose given","","685586"
"38","Total Vaccination 1st dose on the day","","2136"
"39","Total Vaccination 2nd dose on the day","","22503"
"40","Total Vaccination 1st and 2nd dose on the day","","24639"
