"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","689403","382","39862","0","411","103","37864","1587"
"2","ALWAR","1364956","1027","64161","0","309","219","59987","3865"
"3","BANSWARA","267821","100","10405","0","104","0","9940","361"
"4","BARAN","189014","97","12236","0","61","0","11943","232"
"5","BARMER","357801","268","17035","0","187","30","15434","1414"
"6","BHARATPUR","415798","576","21976","0","260","56","19554","2162"
"7","BHILWARA","440091","213","31105","0","156","34","29759","1190"
"8","BIKANER","640222","615","43403","0","546","166","40309","2548"
"9","BUNDI","196678","41","8132","0","48","0","7919","165"
"10","CHITTORGARH","397609","240","21153","0","139","32","19958","1056"
"11","CHURU","363777","141","17195","0","108","8","16629","458"
"12","DAUSA","238061","99","13939","1","63","4","13308","568"
"13","DHOLPUR","243567","71","11226","0","48","1","10971","207"
"14","DUNGARPUR","285784","143","18887","0","131","23","18340","416"
"15","GANGANAGAR","362115","104","19837","0","151","32","19300","386"
"16","HANUMANGARH","434370","388","16932","0","111","7","15991","830"
"17","JAIPUR","2815597","2549","212636","0","1982","1437","190976","19678"
"18","JAISALMER","221185","174","14195","0","66","2","13587","542"
"19","JALORE","406431","0","10070","0","72","0","9996","2"
"20","JHALAWAR","325680","124","14069","0","187","33","13516","366"
"21","JHUNJHUNU","422089","75","15103","0","161","4","14685","257"
"22","JODHPUR","1239720","801","118442","1","1106","515","113256","4080"
"23","KARAULI","199611","5","7169","0","71","1","7093","5"
