"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22975","","5281","","28256",""
"2","Total Active Cases","08 
(0.03%)","","01 
(0.02%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","22799 
(99.2%)","","5220 
(98.8%)","","28019 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","03","","01","","04",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","147","","89","","236",""
"10","No. of Samples Positive (Today)","02","","01","","03",""
"11","No. of Samples Negative (Today)","143","","88","","231",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","57 
23 
45 
00 
125"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(12/05/2022)","","Test Done Today 
(13/05/2022)","","Cumulative"
"","","a)RTPCR","320803","","164","","320967"
"","","b)TRUENAT","13848","","19","","13867"
"","","c)RAT","348548","","53","","348601"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","684304","","236","","684540"
