"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 21.10.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","702","",""
"","","2","Total Discharges","4024873","",""
"","","3","Today's Tests Conducted","9070","",""
"","","4","Total Tests Conducted","69362456","",""
"","","5","Today’s Positives","169","",""
"","","6","New Cases Reported (20.10.2022, 00:00 to 23:59)","202","",""
"","","7","Total Active Cases","2424","",""
"","","8","Today's Deaths Reported","0","",""
"","","9","Total Covid Deaths","40253","",""
"","","10","Total Positive Cases","4067592","",""
"","","11","Positivity Rate for the day (20.10.2022, 00:00 to 23:59)","1.86%","",""
"","","12","*Weekly Total Positivity Rate","2.28%","",""
"","","13","Case Fatality Rate (CFR) for the day (20.10.2022, 00:00 to 23:59)","0.00","",""
"","","14","*Weekly Case Fatality Rate","0.35%","",""
"*From 15-10-2022 to 21-10-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
5219* 
1676802 
          *Date: 20-10-2022 
 
Date: 21-10 -2022 
Page 1 of 7","","","","","",""
