"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","639956","0","37842","0","410","2","37419","13"
"2","ALWAR","1282470","0","59738","0","307","5","59412","19"
"3","BANSWARA","241271","0","10005","0","104","0","9901","0"
"4","BARAN","169139","0","11997","0","61","0","11936","0"
"5","BARMER","336515","0","15580","0","185","1","15388","7"
"6","BHARATPUR","388542","0","19604","0","260","0","19341","3"
"7","BHILWARA","405146","0","29783","0","156","0","29627","0"
"8","BIKANER","605707","7","40394","0","546","2","39821","27"
"9","BUNDI","181378","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","368878","0","19809","0","139","0","19670","0"
"11","CHURU","326640","1","16722","1","108","0","16614","0"
"12","DAUSA","216488","0","13354","0","62","1","13292","0"
"13","DHOLPUR","229387","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","256851","0","18412","0","131","0","18276","5"
"15","GANGANAGAR","343490","2","19359","0","150","0","19205","4"
"16","HANUMANGARH","392928","8","16074","0","111","0","15943","20"
"17","JAIPUR","2589024","7","188138","0","1971","8","186047","120"
"18","JAISALMER","209509","0","13646","0","66","0","13578","2"
"19","JALORE","382954","0","10067","0","72","0","9995","0"
"20","JHALAWAR","295168","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","387171","0","14819","0","158","0","14654","7"
"22","JODHPUR","1173442","0","112429","0","1103","1","111319","7"
"23","KARAULI","176090","0","7156","0","70","0","7086","0"
